POS,Name,B,T,BABIP,BA vL,CON vL,GAP vL,POW vL,EYE vL,K vL,BA vR,CON vR,GAP vR,POW vR,EYE vR,K vR,BBT,GBT,FBT,STU vL,MOV vL,CON vL_1,PBABIP vL,HRA vL,STU vR,MOV vR,CON vR_1,PBABIP vR,HRA vR,STM,HLD,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,P,C,1B,2B,3B,SS,LF,CF,RF,SPE,STE,SR,RUN,ACT,CID,CTier,L10,BUY,SELL,Lock,VAR,VLvl
RF,Kerry Carpenter,L,R,84,84,78,83,101,65,74,85,80,85,107,67,76,Normal,Pull,Pull,1,24,1,72,1,1,26,1,76,1,1,-,1,1,1,19,21,42,13,54,57,65,50,-,35,-,-,-,62,34,57,59,58,18,47,No,82408,Silver,190,0,200,Yes,N,0
1B,Triston Casas,L,R,77,73,67,65,87,93,62,79,78,74,93,101,78,Normal,Ex. Pull,Pull,1,33,20,70,15,1,38,20,89,13,67,43,1,1,4,23,36,74,29,32,39,58,77,-,56,10,31,-,32,-,28,4,11,8,36,No,82605,Silver,153,0,175,Yes,N,0
SS,Joe Cronin,R,R,63,92,91,82,57,89,88,43,70,85,77,123,94,Normal,Spray,Spray,1,2,1,2,3,1,2,1,1,3,1,1,-,-,-,102,49,89,94,4,7,10,-,-,-,106,-,89,-,-,-,54,50,51,49,No,83732,Silver,430,369,550,Yes,N,0
SS,Bill Dahlen,R,R,86,90,90,86,78,69,88,85,84,91,77,70,84,Normal,Pull,Pull,1,1,1,1,1,1,1,1,1,1,1,20,-,-,-,90,84,76,84,64,67,56,-,-,-,103,89,86,-,47,-,95,106,97,94,No,83725,Silver,254,151,244,Yes,N,0
2B,Bobby Doerr,R,R,74,71,89,71,80,66,113,75,88,65,82,58,104,Normal,Pull,Pull,1,5,1,1,7,1,5,1,1,7,1,9,-,-,-,72,78,45,73,4,5,4,-,-,-,80,-,-,-,-,-,37,35,53,52,No,83691,Silver,810,350,1 567,Yes,N,0
SS,Howard Easterling,S,R,84,86,97,75,65,72,107,84,92,73,63,69,99,Normal,Pull,Spray,1,9,1,19,4,1,9,1,19,4,1,4,1,1,1,96,66,93,75,75,62,62,-,-,-,-,93,87,84,63,-,67,68,56,59,No,84498,Silver,141,0,140,Yes,N,0
2B,Tommy Edman,S,R,70,73,82,86,90,65,94,70,79,75,77,69,92,Normal,Ex. Pull,Normal,1,26,1,76,1,1,25,1,74,1,38,-,8,8,5,86,89,66,78,71,70,56,143,-,78,99,83,80,80,57,72,50,87,55,66,No,81772,Silver,137,110,130,Yes,N,0
C,Tex Erwin,L,R,62,38,59,29,10,94,75,67,77,91,109,99,89,Normal,Normal,Normal,1,1,1,1,1,1,1,1,3,1,1,2,74,56,64,9,8,4,5,2,9,8,-,62,-,-,-,-,-,-,-,66,76,47,54,No,82910,Silver,158,120,157,Yes,N,0
SP,Jack Flaherty,R,R,42,44,37,44,30,36,33,42,36,42,28,35,32,Normal,Normal,Normal,88,72,67,82,67,96,75,70,79,73,63,50,1,1,3,24,51,60,23,34,38,57,83,-,63,10,29,-,34,-,29,29,29,22,37,No,82422,Silver,200,0,223,No,N,0
CL,Robert Garcia,R,L,23,22,22,23,8,14,22,24,24,23,9,16,24,Normal,Normal,Normal,92,89,73,83,92,91,86,74,81,89,14,57,1,1,1,34,56,70,2,40,59,20,91,-,75,-,-,-,37,1,17,14,15,7,19,No,82215,Silver,128,0,133,Yes,N,0
CF,Jelly Gardner,L,R,69,68,76,58,32,123,86,70,78,60,34,128,90,Normal,Normal,Pull,1,9,1,17,5,1,10,1,20,5,1,19,1,1,1,9,2,3,2,95,75,71,-,-,-,-,-,-,110,94,103,73,81,85,69,No,84532,Silver,161,0,180,Yes,N,0
SS,Konnor Griffin,R,R,86,88,79,82,82,77,72,86,77,82,80,75,70,Normal,Pull,Pull,1,26,12,78,1,1,27,12,81,1,20,24,1,1,1,70,71,85,66,77,75,88,126,-,101,76,78,65,95,73,94,90,85,88,64,No,85016,Silver,987,566,987,Yes,N,0
SS,Konnor Griffin,R,R,86,88,79,82,82,77,72,86,77,82,80,75,70,Normal,Pull,Pull,1,26,12,78,1,1,27,12,81,1,20,24,1,1,1,70,71,85,66,77,75,88,126,-,101,76,78,65,95,73,94,90,85,88,64,No,85016,Silver,987,566,987,No,N,0
SP,Jimmy Hill,L,L,30,30,22,21,1,30,15,31,25,22,1,31,17,Normal,Normal,Normal,94,79,69,74,82,91,78,69,74,80,72,60,1,1,1,29,19,24,23,45,56,56,56,-,-,-,-,-,49,-,-,16,6,4,28,No,84472,Silver,208,0,223,Yes,N,0
C,Ryan Jeffers,R,R,80,83,85,76,79,95,88,80,82,79,77,91,86,Normal,Pull,Pull,1,27,1,80,1,1,26,1,77,1,1,-,61,61,57,27,30,55,15,34,36,59,71,55,55,-,17,-,34,-,30,21,12,15,51,No,82343,Silver,161,134,270,No,N,0
SS,Felix Mantilla,R,R,73,66,83,62,83,90,105,76,85,65,78,77,96,Normal,Spray,Spray,1,1,1,1,2,1,1,1,1,2,1,1,-,-,-,64,67,64,64,60,54,63,-,-,-,67,61,52,67,41,-,49,67,35,48,No,83717,Silver,195,0,178,Yes,N,0
3B,Pepper Martin,R,R,77,85,89,98,83,78,93,75,83,96,79,75,93,Normal,Pull,Pull,38,34,52,1,51,43,39,54,1,59,24,23,-,-,-,64,48,76,33,69,65,83,-,-,-,-,56,-,-,59,82,67,76,77,63,No,84145,Silver,311,127,311,Yes,N,0
2B,Jeff McNeil,L,R,86,85,94,90,62,76,102,87,96,92,66,77,103,Groundball,Spray,Spray,1,24,1,71,1,1,27,1,79,1,4,-,1,1,1,63,68,54,64,61,57,49,117,-,83,66,55,48,66,40,56,45,85,12,69,No,82272,Silver,191,101,190,Yes,N,0
SP,Herb Pennock,S,L,18,10,25,20,2,40,33,21,23,18,4,37,25,Normal,Normal,Normal,35,66,107,49,75,51,95,106,104,91,90,101,-,-,-,30,42,33,29,8,8,7,79,-,-,-,-,-,-,-,-,5,6,4,5,No,83255,Silver,267,125,295,Yes,N,0
SP,Juan Pizarro,L,L,22,33,25,53,30,53,12,18,21,52,45,35,24,Normal,Pull,Pull,68,116,56,138,106,82,73,75,68,76,81,115,-,-,-,27,36,28,23,10,9,10,72,-,-,-,-,-,-,-,-,16,6,3,29,No,83880,Silver,282,155,282,Yes,N,0
3B,Alex Radcliff,R,R,76,78,91,86,76,62,107,76,87,85,74,60,100,Normal,Normal,Normal,1,9,1,26,1,1,8,1,24,1,17,14,1,1,1,92,67,98,80,1,3,9,-,-,-,-,96,-,-,-,-,57,67,50,56,No,84483,Silver,131,101,141,Yes,N,0
CF,Ceddanne Rafaela,R,R,93,93,90,104,70,58,85,94,91,93,69,53,86,Groundball,Spray,Spray,1,25,1,73,1,1,26,1,76,1,4,-,2,2,4,83,76,65,67,100,95,81,134,-,76,89,75,71,122,106,116,63,82,74,56,No,82608,Silver,516,385,487,Yes,N,0
C,Wilbert Robinson,R,R,116,128,136,82,53,48,122,113,123,56,35,31,120,Groundball,Normal,Normal,1,1,1,1,2,1,1,1,1,2,1,19,81,67,74,10,5,8,2,5,3,5,-,75,-,-,-,-,-,-,-,47,51,33,54,No,84182,Silver,497,250,511,Yes,N,0
SP,Emmet Sheehan,R,R,12,12,16,16,1,13,19,12,16,16,1,13,19,Normal,Normal,Normal,92,71,75,87,63,95,74,76,92,66,58,35,1,1,2,29,19,39,8,11,19,20,57,-,51,-,-,-,-,-,-,19,19,14,24,No,81795,Silver,398,300,425,Yes,N,0
CF,Jack Smith,L,L,92,71,68,60,63,58,66,99,92,70,86,74,82,Normal,Normal,Normal,1,1,1,1,1,1,1,1,2,1,1,6,-,-,-,6,1,5,1,84,57,100,-,-,-,-,-,-,101,82,103,87,87,83,92,No,83776,Silver,146,0,134,Yes,N,0
SP,Joe Strong,L,R,59,57,44,75,62,69,33,60,47,78,65,71,35,Normal,Normal,Normal,88,71,73,69,72,91,74,74,78,73,67,60,1,1,1,51,30,45,25,72,59,59,87,-,-,-,23,-,79,57,72,29,6,3,28,No,84457,Silver,141,121,177,Yes,N,0
1B,Spencer Torkelson,R,R,76,77,74,91,101,99,72,76,72,89,97,95,69,Normal,Pull,Pull,1,25,1,74,1,1,25,1,73,1,1,-,2,2,2,30,36,43,46,48,59,61,79,-,53,20,18,-,55,25,49,14,16,4,60,No,82405,Silver,181,0,167,Yes,N,0
SS,Tom Tresh,S,R,84,93,97,66,95,72,97,82,90,71,72,86,97,Normal,Normal,Normal,1,5,1,1,7,1,5,1,1,7,1,23,-,-,-,84,93,68,61,61,45,64,-,-,-,-,83,77,66,42,-,59,36,45,77,No,84377,Silver,222,0,255,Yes,N,0
SS,Jared Triolo,R,R,91,91,91,84,62,98,89,92,86,83,56,90,79,Normal,Pull,Pull,1,25,5,74,1,1,27,5,81,1,6,11,3,3,2,75,78,81,57,44,48,61,132,-,100,80,80,68,48,17,43,61,82,56,67,No,81900,Silver,166,101,199,Yes,N,0
RF,Matt Wallner,L,R,82,82,69,79,94,89,55,83,71,81,96,91,60,Normal,Ex. Pull,Pull,36,57,30,81,46,36,59,33,81,49,20,44,1,1,1,23,32,90,18,50,55,92,77,-,54,2,37,-,62,32,65,33,67,16,45,No,82341,Silver,135,101,129,No,N,0
2B,Lou Whitaker,L,R,96,84,76,38,37,105,69,101,102,67,22,92,96,Groundball,Normal,Normal,1,3,1,1,4,1,3,1,1,4,1,12,-,-,-,107,57,73,93,8,2,10,-,-,-,113,-,-,-,-,-,74,52,52,66,No,84376,Silver,133,0,136,Yes,N,0
SP,Mick Abel,R,R,16,17,17,24,16,13,16,16,16,23,15,12,15,Normal,Normal,Normal,92,79,67,71,83,93,81,68,72,86,60,44,3,3,1,15,12,24,9,43,29,15,31,-,28,-,-,-,32,3,9,22,22,20,23,No,84919,Silver,133,115,150,Yes,N,0
CF,Kevin Alcantara,R,R,97,104,85,79,128,98,68,96,78,74,104,89,62,Normal,Normal,Normal,1,26,6,76,1,1,26,5,77,1,5,4,2,2,2,37,38,45,33,100,67,72,83,-,79,22,21,-,114,101,108,94,70,44,87,No,84755,Silver,131,0,127,No,N,0
C,Patrick Bailey,S,R,74,76,74,58,62,75,74,74,73,60,64,75,74,Normal,Normal,Normal,1,26,1,76,1,1,24,1,72,1,1,-,91,114,88,31,32,58,20,27,40,58,77,109,50,8,22,-,28,-,24,50,16,8,46,No,81719,Silver,202,108,155,Yes,N,0
3B,Addison Barger,L,R,74,79,76,77,84,74,74,73,77,87,94,80,83,Normal,Normal,Normal,1,27,1,79,1,1,24,1,72,1,1,-,1,1,2,64,59,77,65,61,47,69,116,-,79,66,65,53,67,42,64,20,67,23,70,No,82496,Silver,137,101,137,Yes,N,0
RF,Carson Benge,L,R,77,74,75,72,78,78,78,78,79,79,85,85,82,Normal,Normal,Normal,59,60,52,79,51,61,68,55,82,61,47,41,1,1,1,39,40,43,25,75,70,84,85,-,64,20,21,3,91,68,89,83,80,54,47,No,85009,Silver,788,451,654,Yes,N,0
RF,Carson Benge,L,R,77,74,75,72,78,78,78,78,79,79,85,85,82,Normal,Normal,Normal,59,60,52,79,51,61,68,55,82,61,47,41,1,1,1,39,40,43,25,75,70,84,85,-,64,20,21,3,91,68,89,83,80,54,47,No,85009,Silver,788,451,654,No,N,0
SP,Joe Boyle,R,R,19,19,19,18,10,17,18,19,19,18,10,17,18,Normal,Spray,Spray,95,81,60,86,79,97,85,60,91,82,56,41,2,2,1,18,3,37,3,3,26,24,28,-,29,-,-,-,-,-,-,13,11,7,21,No,82540,Silver,214,114,205,Yes,N,0
SP,Taj Bradley,R,R,25,25,31,23,3,14,37,25,31,23,3,14,37,Normal,Normal,Normal,75,79,79,83,77,78,78,80,81,77,66,42,1,1,4,25,31,46,3,34,42,48,66,-,47,-,8,-,33,-,26,16,11,16,20,No,82353,Silver,179,101,148,No,N,0
SS,Ed Brinkman,R,R,60,56,84,55,9,63,130,61,89,58,18,73,141,Normal,Normal,Normal,1,5,1,1,7,1,5,1,1,7,1,20,-,-,-,103,82,96,86,6,10,8,-,-,-,-,-,102,-,-,-,50,58,12,51,No,82912,Silver,253,155,230,Yes,N,0
SP,Charlie Buffinton,R,R,17,18,64,38,61,80,102,17,61,37,58,77,97,Normal,Normal,Normal,76,78,75,83,76,79,80,76,84,79,81,71,-,-,-,31,29,31,33,51,50,67,71,-,50,-,-,-,57,28,53,54,66,79,37,No,83239,Silver,130,0,125,Yes,N,0
1B,Dolph Camilli,L,L,45,33,38,111,80,120,47,49,60,118,119,150,68,Line Drive,Spray,Spray,1,1,1,1,1,1,1,1,2,1,1,18,-,-,-,36,46,50,69,3,5,8,-,-,56,-,-,-,-,-,-,60,67,21,55,No,83775,Silver,152,120,165,Yes,N,0
SP,Joey Cantillo,L,L,25,25,22,21,11,17,19,25,22,21,11,17,19,Normal,Pull,Pull,96,78,69,82,76,93,76,68,80,74,58,53,1,1,2,21,9,54,16,8,5,27,43,-,34,-,-,-,-,-,-,15,23,10,12,No,82453,Silver,196,102,195,Yes,N,0
SP,Andy Cooper,R,L,23,24,41,65,45,53,61,23,40,65,45,53,60,Normal,Normal,Spray,61,79,113,87,76,60,76,110,81,74,68,60,1,1,1,29,25,26,25,53,59,65,63,-,-,-,-,-,60,-,56,38,6,4,28,No,84465,Silver,158,101,210,Yes,N,0
SS,Carlos Correa,R,R,89,90,89,71,74,82,87,89,87,72,75,80,85,Normal,Pull,Pull,1,28,1,83,1,1,28,1,82,1,-,-,-,-,-,75,89,84,61,57,54,77,137,-,106,85,87,74,67,40,65,45,6,5,69,No,82177,Silver,122,0,128,Yes,N,0
RP,Bill Dailey,R,R,1,1,4,3,1,3,1,1,4,3,1,3,1,Normal,Normal,Normal,33,119,13,58,150,77,123,130,71,150,24,56,-,-,-,35,20,26,23,1,10,9,65,-,-,-,-,-,-,-,-,12,6,4,20,No,84264,Silver,184,155,225,Yes,N,0
2B,Ray Durham,S,R,94,111,86,115,32,140,64,90,83,120,58,112,76,Line Drive,Spray,Spray,1,2,1,1,3,1,2,1,1,3,1,6,-,-,-,69,106,47,70,5,3,6,-,-,-,86,-,-,-,-,-,57,67,57,106,No,85378,Silver,196,119,132,No,N,0
2B,Xavier Edwards,S,R,100,103,107,67,38,84,101,100,106,66,41,85,102,Groundball,Normal,Normal,1,25,1,74,1,1,25,1,75,1,10,-,1,1,1,62,73,65,75,75,55,64,120,-,71,72,65,56,83,62,77,75,81,69,75,No,82115,Silver,308,175,450,Yes,N,0
CL,Jose A. Ferrer,L,L,12,12,11,19,1,4,9,13,12,18,1,5,10,Normal,Ex. Pull,Pull,79,101,87,67,118,77,96,88,65,112,16,67,-,-,-,9,8,42,8,12,23,45,24,-,16,-,-,-,-,-,-,16,18,19,22,No,82245,Silver,332,163,300,Yes,N,0
3B,Maikel Garcia,R,R,87,89,94,97,62,84,97,87,91,89,60,81,94,Line Drive,Spray,Spray,1,25,1,75,1,1,25,1,75,1,1,-,1,1,1,88,75,77,65,60,53,48,138,-,87,92,83,77,64,38,54,68,80,70,66,No,82377,Silver,228,0,219,Yes,N,0
C,Regino Garcia,R,R,78,78,85,92,68,77,93,78,84,91,67,76,91,Normal,Normal,Normal,1,10,1,18,7,1,11,1,19,7,1,7,62,62,63,57,61,32,62,75,62,62,-,58,49,57,-,-,84,63,77,71,83,78,68,No,84504,Silver,124,0,140,Yes,N,0
SP,Willie Gisentaner,L,L,48,48,54,65,70,56,61,49,55,66,72,57,62,Normal,Pull,Spray,71,83,83,90,80,69,81,81,87,78,64,60,1,1,1,48,24,26,41,72,59,59,81,-,-,-,-,-,79,57,72,29,6,5,28,No,84463,Silver,302,103,250,Yes,N,0
RP,Greg Harris,S,R,1,1,4,3,1,3,1,1,4,2,1,3,1,Normal,Spray,Spray,118,84,64,104,74,116,95,55,115,85,24,33,-,-,-,33,13,23,23,4,6,2,55,-,-,-,-,-,-,-,-,6,6,5,6,No,83235,Silver,121,0,135,No,N,0
RP,Porter Hodge,R,R,18,18,19,18,13,10,19,18,19,18,13,10,19,Normal,Normal,Normal,95,80,62,82,79,102,86,63,90,85,30,41,1,1,5,16,9,67,20,21,14,22,41,-,29,-,-,-,6,-,-,11,2,14,16,No,81997,Silver,133,0,130,Yes,N,0
CL,Jeff Hoffman,R,R,3,4,16,4,3,4,28,3,15,5,2,3,26,Normal,Normal,Normal,107,74,73,84,69,113,74,74,78,72,15,53,1,1,4,13,34,38,12,11,21,6,54,-,43,-,-,-,-,-,-,18,11,15,27,No,82513,Silver,161,0,151,Yes,N,0
SP,Janson Junk,R,R,20,20,22,20,2,20,25,20,22,20,2,20,25,Normal,Normal,Normal,60,80,102,80,81,63,82,107,80,84,59,31,3,3,2,21,18,39,24,13,25,31,49,-,33,-,-,-,-,-,-,18,20,16,17,No,82126,Silver,135,111,139,Yes,N,0
LF,Henry Larkin,R,R,74,76,95,75,64,88,121,74,90,73,62,86,112,Normal,Normal,Normal,1,3,1,1,4,1,3,1,1,4,1,19,-,-,-,56,52,33,59,48,56,62,-,-,65,52,-,-,54,24,-,79,88,91,72,No,83738,Silver,138,101,150,Yes,N,0
SP,Jacob Lopez,L,L,30,30,26,35,27,32,23,31,28,36,29,33,24,Normal,Normal,Normal,85,77,66,84,74,86,74,68,81,71,58,57,1,1,2,32,27,49,14,43,47,59,73,-,58,-,-,-,46,15,41,34,39,28,36,No,82284,Silver,180,0,199,Yes,N,0
RF,Charlie Mason,L,L,70,70,77,61,81,80,87,71,79,62,83,82,91,Normal,Normal,Normal,17,28,25,32,27,17,28,24,33,26,48,55,1,1,1,48,21,22,41,64,49,73,79,-,60,-,-,-,72,47,69,66,77,77,66,No,84491,Silver,145,0,144,Yes,N,0
SP,Steven Matz,R,L,49,48,45,38,9,41,44,50,47,39,10,42,46,Normal,Normal,Normal,75,73,92,76,72,76,73,93,77,71,58,41,-,-,-,41,33,54,17,20,30,40,83,-,66,-,-,-,14,-,7,13,10,18,11,No,82547,Silver,175,150,199,Yes,N,0
CF,Hurley McNair,L,L,109,105,104,63,51,64,95,110,110,65,56,66,100,Groundball,Normal,Pull,60,58,61,60,58,60,61,61,65,59,49,51,1,1,1,62,22,39,55,86,51,69,90,-,-,-,-,9,95,78,89,75,88,84,71,No,84516,Silver,135,0,154,Yes,N,0
SP,Parker Messick,L,L,22,22,19,29,25,25,15,23,19,30,26,27,16,Normal,Pull,Pull,63,90,108,56,107,70,88,102,60,103,74,55,2,2,1,20,32,59,9,6,23,23,66,-,39,-,-,-,-,-,-,12,10,11,14,No,84645,Silver,114,0,109,No,N,0
SP,Casey Mize,R,R,24,24,19,14,9,20,15,24,19,14,9,20,15,Normal,Normal,Normal,76,77,87,75,78,73,77,85,78,77,66,59,1,1,3,28,28,39,24,14,20,29,67,-,52,5,7,-,-,-,-,15,6,17,22,No,82416,Silver,252,154,275,Yes,N,0
RP,Joe Musgrove,R,R,31,31,29,24,11,27,27,31,29,24,11,27,27,Normal,Normal,Normal,73,79,95,80,79,74,80,96,83,79,53,50,-,-,-,24,13,42,20,-,-,-,48,-,42,-,-,-,-,-,-,22,22,15,28,No,81764,Silver,161,105,156,Yes,N,0
3B,Billy Nash,R,R,70,70,79,89,78,90,91,70,79,88,77,90,91,Normal,Spray,Spray,1,2,1,1,3,1,2,1,1,3,1,18,-,-,-,51,64,65,56,7,4,7,-,-,-,-,54,-,-,-,-,68,84,84,61,No,83694,Silver,333,156,388,Yes,N,0
SP,Aaron Nola,R,R,32,33,36,17,2,49,42,32,34,17,2,49,40,Normal,Normal,Normal,82,68,90,75,65,85,70,93,74,68,76,38,1,1,4,25,74,42,14,7,28,33,93,-,61,12,28,-,-,-,-,15,11,17,16,No,82067,Silver,963,552,951,Yes,N,0
SP,Johan Oviedo,R,R,16,18,33,30,8,20,45,16,32,29,7,18,43,Normal,Spray,Spray,74,78,68,90,72,83,81,72,88,78,55,52,2,2,4,28,51,50,23,3,3,3,84,-,71,13,24,-,-,-,-,20,21,15,23,No,82618,Silver,191,0,185,Yes,N,0
RP,Juan Padilla,R,R,2,2,5,3,1,3,1,2,5,3,1,3,1,Normal,Spray,Spray,51,121,31,127,119,42,129,70,137,126,23,115,-,-,-,27,20,23,23,2,1,3,55,-,-,-,-,-,-,-,-,9,6,5,13,No,84258,Silver,111,0,119,No,N,0
C,Bill Perkins,R,R,72,74,83,83,78,76,95,72,80,82,75,75,92,Normal,Normal,Spray,1,11,1,19,7,1,11,1,19,7,1,25,61,62,63,56,59,72,37,75,62,62,-,58,67,-,55,-,84,63,77,55,68,36,54,No,84486,Silver,152,0,159,Yes,N,0
SP,Trevor Rogers,L,L,19,18,17,21,1,16,15,20,18,23,1,18,16,Normal,Spray,Spray,78,86,89,80,89,69,78,85,78,79,59,61,1,1,1,34,51,56,27,8,8,41,89,-,79,-,-,-,-,-,-,36,22,51,34,No,82654,Silver,195,0,222,Yes,N,0
CL,Dennis Santana,R,R,33,34,30,54,36,30,24,33,29,52,35,28,22,Normal,Normal,Normal,77,92,79,103,87,76,92,78,101,88,17,56,2,2,3,31,44,60,57,24,49,36,86,-,65,29,33,-,22,-,12,43,39,41,49,No,81915,Silver,361,123,333,Yes,N,0
SP,Roki Sasaki,R,R,6,6,15,17,1,15,22,6,15,17,1,15,22,Normal,Normal,Normal,83,67,74,73,64,89,72,77,78,70,72,49,1,1,1,16,20,31,14,5,7,1,43,-,31,-,-,-,-,-,-,4,2,4,5,No,81788,Silver,309,220,345,Yes,N,0
C,Wally Schang,S,R,78,95,95,90,71,88,91,72,80,66,90,81,92,Normal,Pull,Pull,1,3,1,1,4,1,3,1,1,4,1,12,38,51,68,8,5,5,10,5,8,1,-,44,-,-,-,-,-,-,-,78,73,65,97,No,83800,Silver,497,175,372,Yes,N,0
SP,Harry Staley,R,R,19,20,40,68,61,62,61,19,39,66,58,60,58,Normal,Normal,Normal,69,74,99,79,72,69,74,100,78,73,86,79,-,-,-,27,31,28,26,10,6,10,67,-,-,-,-,-,-,-,-,29,8,11,30,No,84056,Silver,127,101,130,Yes,N,0
RF,Ed Stone,L,R,78,77,85,66,62,82,94,79,89,68,64,87,99,Normal,Pull,Normal,1,8,1,18,3,1,8,1,20,3,1,18,1,1,1,68,61,47,70,72,70,77,-,-,-,70,51,-,86,62,82,71,70,48,57,No,84495,Silver,136,0,155,Yes,N,0
SS,Dansby Swanson,R,R,76,77,75,76,88,90,74,76,73,72,86,87,72,Normal,Ex. Pull,Pull,1,25,1,75,1,1,25,1,73,1,1,-,3,3,5,91,89,71,71,56,62,66,146,-,94,101,87,84,64,37,60,45,82,55,71,No,81994,Silver,143,0,140,Yes,N,0
2B,JJ Wetherholt,L,R,76,75,79,74,74,89,86,77,81,77,77,92,88,Normal,Normal,Normal,1,25,1,75,1,1,26,1,78,1,1,1,1,1,1,68,76,59,72,62,72,55,125,-,73,77,65,59,71,45,63,32,77,41,62,No,85010,Silver,190,122,166,No,N,0
SP,Andrew Abbott,L,L,23,23,19,19,6,21,16,23,19,19,6,21,16,Normal,Normal,Normal,71,78,83,81,77,71,77,84,79,76,55,62,1,1,5,22,51,31,40,25,29,20,79,-,49,-,-,-,14,-,-,19,16,13,26,No,81973,Silver,223,112,611,Yes,N,0
2B,Sparky Adams,R,R,67,68,92,74,41,80,133,67,92,74,30,80,134,Normal,Spray,Spray,1,3,1,1,4,1,3,1,1,4,1,8,-,-,-,81,88,57,84,4,5,3,-,-,-,96,77,75,-,-,-,64,70,81,63,No,84156,Silver,272,155,220,Yes,N,0
RP,Adbert Alzolay,R,R,25,25,29,14,3,26,33,25,29,14,3,26,33,Normal,Normal,Normal,86,69,81,80,64,97,77,85,87,72,31,69,2,2,2,14,13,51,21,12,19,31,39,-,23,-,-,-,-,-,-,19,13,15,28,No,82090,Silver,142,111,141,Yes,N,0
RF,Will Benson,L,L,81,81,70,78,79,90,61,82,71,79,80,93,62,Normal,Ex. Pull,Pull,1,25,1,73,1,1,25,1,75,1,1,-,1,1,1,27,35,77,14,65,64,70,78,-,62,-,-,-,76,51,71,90,77,56,61,No,81960,Silver,155,101,159,Yes,N,0
RF,Steve Brady,S,R,91,90,87,58,75,69,83,92,91,60,80,72,88,Groundball,Spray,Spray,1,3,1,1,5,1,3,1,1,5,1,15,-,-,-,33,31,32,32,52,64,58,-,-,50,-,-,-,-,-,52,69,85,88,62,No,82908,Silver,125,0,120,Yes,N,0
2B,Jack Brohamer,L,R,55,40,71,36,93,74,101,60,87,58,58,88,134,Normal,Spray,Spray,1,2,1,1,3,1,2,1,2,3,1,20,-,-,-,92,104,71,67,6,5,1,-,-,-,106,94,-,-,-,-,41,13,19,31,No,84111,Silver,141,0,178,Yes,N,0
SP,Luis Castillo,R,R,39,39,31,18,4,38,18,39,31,18,4,38,18,Normal,Normal,Normal,73,70,85,74,69,77,76,86,80,74,67,53,1,1,1,16,18,59,11,8,18,27,47,-,31,-,-,-,-,-,-,12,2,10,24,No,82254,Silver,520,125,443,Yes,N,0
C,Tommy Clarke,R,R,82,81,92,120,1,101,104,83,101,51,1,108,127,Groundball,Spray,Spray,1,3,1,1,5,1,3,1,1,5,1,5,97,67,78,10,4,5,10,8,6,10,-,84,-,-,-,-,-,-,-,68,76,68,52,No,83558,Silver,404,111,400,Yes,N,0
SP,Bruce Dal Canton,R,R,1,1,4,3,1,3,1,1,4,3,1,3,1,Normal,Normal,Normal,63,105,58,109,103,68,100,48,106,98,74,33,-,-,-,26,20,23,23,4,4,10,54,-,-,-,-,-,-,-,-,9,6,3,14,No,83190,Silver,228,124,167,Yes,N,0
C,Harry Danning,R,R,73,87,99,72,73,77,112,69,87,78,88,63,110,Normal,Spray,Spray,1,3,1,1,5,1,3,1,1,5,1,16,87,62,69,4,4,8,5,1,3,6,-,73,-,-,-,-,-,-,-,44,58,20,44,No,84148,Silver,339,151,325,Yes,N,0
SS,Al Dark,R,R,61,42,71,125,93,53,99,64,76,86,68,55,91,Normal,Spray,Spray,1,5,1,1,7,1,5,1,2,7,1,23,-,-,-,103,66,95,92,10,1,2,-,-,-,-,100,97,-,-,-,63,72,44,91,No,83729,Silver,112,0,115,No,N,0
CF,Boots Day,L,L,84,68,92,62,10,77,133,89,103,48,48,61,117,Groundball,Spray,Spray,1,1,1,1,1,1,1,1,2,1,1,2,-,-,-,6,8,4,6,101,62,93,-,-,-,-,-,-,119,106,-,64,68,56,74,No,83770,Silver,113,0,120,Yes,N,0
CF,Brenton Doyle,R,R,92,94,82,74,78,68,71,92,79,75,78,66,69,Normal,Pull,Pull,1,26,1,76,1,1,26,1,76,1,1,-,1,1,1,23,16,74,3,94,88,96,56,-,41,-,9,-,117,99,116,62,84,70,52,No,81810,Silver,141,115,144,Yes,N,0
SS,Stephen Drew,L,R,85,78,73,88,78,88,69,87,89,88,65,83,90,Groundball,Pull,Pull,1,3,1,1,5,1,3,1,1,5,1,10,-,-,-,90,74,78,72,5,10,9,-,-,-,96,-,80,-,-,-,50,61,23,40,No,83348,Silver,107,0,131,No,N,0
SP,David Festa,R,R,17,17,16,15,8,22,15,17,16,15,8,22,15,Normal,Pull,Pull,77,75,77,78,74,83,78,80,82,77,53,45,1,1,1,27,18,38,11,30,28,30,54,-,49,-,-,-,22,-,12,32,21,34,42,No,82331,Silver,138,105,170,Yes,N,0
SP,Frank Foreman,R,R,39,46,58,90,62,75,67,37,48,77,70,65,61,Normal,Spray,Spray,76,86,75,104,77,75,74,75,71,76,80,61,-,-,-,25,16,19,16,3,7,3,46,-,-,-,-,-,-,-,-,67,54,33,47,No,84049,Silver,119,0,132,Yes,N,0
