POS,Name,B,T,BA vL,GAP vL,POW vL,EYE vL,K vL,BA vR,GAP vR,POW vR,EYE vR,K vR,STU vL,CON vL,PBABIP vL,HRA vL,STU vR,CON vR,PBABIP vR,HRA vR,STM,C ABI,C FRM,C ARM,IF RNG,IF ERR,IF ARM,TDP,OF RNG,OF ERR,OF ARM,DEF,SPE,STE,SR,RUN,ACT,CVAL,REL,L10,BUY,VAR
SP,Tyler Anderson,Left,Left,1,3,1,3,1,2,3,1,3,1,65,145,122,115,62,128,136,124,76,-,-,-,35,19,25,23,4,9,6,63,8,6,4,11,No,95,07/08/2026,37 583,12 500,N
1B,Zeke Bonura,Right,Right,82,90,92,78,111,104,66,97,73,115,1,1,1,1,1,1,2,1,1,-,-,-,43,56,37,66,4,6,8,71,40,58,18,85,No,95,03/13/2026,5 005,4 200,N
LF,Fred Clarke,Left,Right,62,80,65,114,100,81,61,89,110,117,1,1,1,3,1,1,2,3,1,-,-,-,4,7,6,9,54,110,58,71,81,83,82,76,No,95,03/13/2026,4 531,0,N
RF,Tony Conigliaro,Right,Right,96,72,128,69,82,99,98,133,86,77,1,1,1,1,1,1,1,1,1,-,-,-,8,3,8,7,67,57,84,79,67,28,41,93,No,95,04/30/2026,5 128,0,N
3B,Josh Donaldson,Right,Right,58,65,95,133,77,82,84,117,108,86,1,1,1,1,1,1,3,2,1,-,-,-,109,79,100,37,9,5,4,104,8,34,24,27,No,95,03/13/2026,4 562,0,N
1B,Luke Easter,Left,Right,94,56,144,98,54,118,50,132,120,66,1,1,22,1,1,1,22,1,1,1,1,1,48,35,39,34,61,60,74,87,38,6,7,31,No,95,04/03/2026,32 226,0,Y
SS,Ethan Holliday,Left,Right,90,88,108,140,57,112,98,136,156,69,1,15,81,1,1,16,82,1,15,1,1,1,98,44,110,79,57,55,55,87,51,47,33,62,No,95,06/19/2026,7 693,6 000,N
C,Elston Howard,Right,Right,150,77,121,60,100,108,68,114,49,80,1,1,1,7,1,1,1,7,1,74,59,109,32,26,29,31,59,65,69,82,33,6,18,19,No,95,05/28/2026,6 900,4 555,N
2B,Chuck Knoblauch,Right,Right,160,101,61,133,118,127,105,56,135,121,1,1,1,7,1,1,1,7,1,-,-,-,84,121,58,92,8,3,3,113,109,102,96,111,No,95,07/02/2026,13 999,11 111,N
RP,Barry Latman,Right,Right,1,2,1,6,1,1,4,1,4,1,60,27,151,125,81,82,160,157,37,-,-,-,23,13,19,23,9,8,2,42,9,6,5,13,No,95,03/13/2026,5 294,0,N
SP,Jose Mendez,Right,Right,54,89,8,72,41,52,87,7,70,39,99,72,117,91,101,78,115,99,70,1,1,1,68,30,61,53,72,59,59,100,46,63,21,46,No,95,03/13/2026,6 769,4 002,N
LF,Melvin Mora,Right,Right,91,36,114,123,98,128,63,84,93,64,1,1,1,1,1,1,2,1,1,-,-,-,59,64,64,57,69,63,58,77,59,54,51,73,No,95,03/13/2026,6 593,0,N
SP,Don Newcombe,Left,Right,66,51,48,61,21,66,65,64,68,36,86,88,115,113,89,91,123,101,73,1,1,1,31,28,28,25,9,5,8,68,8,6,5,28,No,95,04/16/2026,6 815,4 200,N
CF,Amos Otis,Right,Right,71,75,90,112,130,96,100,95,85,90,1,1,1,1,1,1,2,1,1,-,-,-,1,3,5,5,108,110,74,118,98,99,73,94,No,95,03/13/2026,5 114,0,N
C,Johnny Romano,Right,Right,64,61,111,122,100,52,68,123,91,89,1,1,1,7,1,1,1,7,1,53,74,81,9,8,6,4,8,3,10,68,24,6,5,19,No,95,03/13/2026,5 584,4 700,N
SS,Fernando Tatis Jr.,Right,Right,114,99,136,118,71,106,96,142,104,67,1,1,1,1,1,1,1,1,1,-,-,-,91,48,116,82,89,99,90,86,111,104,64,103,No,95,06/18/2026,8 056,0,N
RP,Alex Vesia,Left,Left,1,3,1,3,1,1,3,1,3,1,115,74,158,109,120,62,135,107,14,-,-,-,27,20,23,23,6,9,9,55,5,6,4,5,No,95,04/16/2026,5 250,0,N
RP,Matt Anderson,Right,Right,1,3,1,3,1,1,3,1,3,1,123,85,128,96,125,94,135,95,18,-,-,-,27,20,23,23,5,6,4,55,5,6,4,5,No,94,08/13/2026,7 849,4 795,N
3B,Garrett Atkins,Right,Right,92,108,123,148,99,94,98,97,82,95,1,1,1,1,1,1,1,1,1,-,-,-,67,64,74,89,5,5,10,71,47,100,28,42,No,94,03/13/2026,4 717,0,N
CL,Andrew Bailey,Right,Right,14,3,1,3,1,11,3,1,3,1,117,82,156,77,132,99,121,125,21,-,-,-,27,20,23,23,8,1,1,55,10,6,3,15,No,94,04/29/2026,17 245,0,N
SP,Shane Bieber,Right,Right,1,3,1,3,1,1,3,1,2,1,147,71,95,81,131,83,100,88,75,-,-,-,28,22,24,23,5,10,10,58,6,6,4,7,No,94,04/09/2026,4 360,0,N
1B,Jeff Conine,Right,Right,96,69,95,115,118,89,78,86,88,110,1,1,1,5,1,1,1,5,1,-,-,-,73,30,45,31,69,50,88,71,46,72,35,52,No,94,03/13/2026,6 875,4 750,N
RP,Neal Cotts,Left,Left,1,2,1,2,1,1,3,1,3,1,107,75,112,101,89,60,109,150,17,-,-,-,35,20,26,23,9,8,4,65,5,6,5,5,No,94,03/13/2026,5 662,0,N
CL,Ryne Duren,Right,Right,1,3,1,5,1,1,3,1,5,1,160,26,117,160,153,33,155,94,25,-,-,-,35,20,26,23,5,9,10,65,9,6,5,13,No,94,06/04/2026,6 452,4 500,N
3B,Bobby Estalella,Right,Right,79,52,97,130,98,66,65,89,122,87,36,46,49,33,41,49,40,44,64,1,1,1,76,60,84,67,48,79,61,75,56,73,58,60,No,94,03/13/2026,4 903,0,N
RF,Elmer Flick,Left,Right,96,72,79,102,69,107,70,85,98,83,1,1,1,1,1,1,1,1,1,-,-,-,3,5,2,3,54,57,74,61,87,90,85,65,No,94,03/13/2026,4 941,0,N
CL,Tom Gordon,Right,Right,1,3,1,3,1,1,3,1,3,1,88,75,101,150,99,58,110,120,18,-,-,-,24,25,25,26,10,3,6,56,5,6,4,5,No,94,03/13/2026,4 871,0,N
CL,Joel Hanrahan,Right,Right,1,3,1,3,1,1,3,1,3,1,59,98,74,150,83,87,78,135,17,-,-,-,27,20,23,23,1,10,7,55,5,6,5,5,No,94,03/13/2026,5 885,0,N
CF,Sam Jethroe,Switch,Right,114,106,86,82,71,77,82,88,75,98,1,1,26,4,1,1,14,4,1,1,1,1,29,29,28,27,92,69,97,94,73,90,92,73,No,94,03/13/2026,4 840,4 001,N
3B,Newt Joseph,Right,Right,89,101,85,87,97,88,101,84,86,95,1,1,19,7,1,1,19,7,1,1,1,1,90,67,98,87,57,63,69,96,71,79,70,65,No,94,03/13/2026,4 850,4 001,N
CL,Dave LaRoche,Left,Left,3,3,1,3,1,4,4,1,3,1,156,51,131,150,130,30,145,114,28,-,-,-,35,30,29,23,5,4,8,76,7,6,5,9,No,94,05/21/2026,6 134,0,N
3B,Evan Longoria,Right,Right,96,150,107,105,80,91,114,115,101,72,1,1,1,1,1,1,1,1,1,-,-,-,120,84,112,72,5,7,5,123,33,86,24,53,No,94,07/16/2026,10 381,0,N
CL,Jeff Montgomery,Right,Right,1,3,1,3,1,1,3,1,3,1,86,90,87,84,135,76,90,118,23,-,-,-,25,20,22,23,5,7,5,52,5,6,5,5,No,94,03/13/2026,4 646,4 002,N
3B,Arjun Nimmala,Right,Right,132,132,142,113,93,124,124,139,106,88,1,1,83,1,1,1,84,1,1,1,1,1,98,90,114,89,70,65,56,128,72,49,41,76,No,94,08/07/2026,122 283,0,Y
SP,Satchel Paige,Right,Right,1,3,1,3,2,1,3,1,3,2,91,94,97,132,92,77,88,103,62,-,-,-,29,20,24,23,7,7,2,57,5,6,4,6,No,94,04/16/2026,9 750,7 100,N
2B,Bonnie Serrell,Left,Right,94,74,75,62,97,97,76,81,65,105,1,1,18,3,1,1,21,3,1,1,1,1,94,67,45,92,6,11,9,102,65,70,45,56,No,94,03/13/2026,5 039,4 001,N
2B,Eddie Stanky,Right,Right,125,69,37,128,128,85,63,41,152,87,1,1,1,5,1,1,1,5,1,-,-,-,101,62,68,91,3,9,7,108,57,57,47,66,No,94,03/13/2026,4 829,0,N
RP,Matt Thornton,Left,Left,1,3,1,3,1,1,3,1,3,1,161,101,96,82,133,65,85,118,17,-,-,-,35,20,26,23,9,8,9,65,5,6,4,5,No,94,07/04/2026,5 972,4 001,N
SS,Troy Tulowitzki,Right,Right,92,88,95,88,94,86,94,91,81,77,1,1,1,4,1,1,1,4,1,-,-,-,104,103,109,109,3,6,2,120,74,60,42,92,No,94,03/13/2026,5 099,0,N
CF,Ryan Waldschmidt,Right,Right,97,99,136,145,77,91,91,133,145,70,1,1,84,1,1,1,85,1,1,1,1,1,37,44,49,36,91,100,64,98,81,92,73,88,No,94,05/09/2026,26 569,0,Y
CF,Ryan Waldschmidt,Right,Right,89,91,126,135,71,84,84,123,135,64,1,1,77,1,1,1,78,1,1,1,1,1,37,44,49,36,91,100,64,91,81,92,73,88,No,94,05/09/2026,4 820,4 001,N
SS,Eli Willits,Switch,Right,115,96,54,142,99,120,95,66,149,90,1,16,65,1,1,16,66,1,5,1,1,1,100,90,83,79,71,76,59,97,93,102,89,104,No,94,06/13/2026,26 902,4 001,N
CF,Walt Wilmot,Switch,Right,92,77,105,88,116,99,82,111,81,107,1,1,1,1,1,1,1,1,1,-,-,-,8,7,4,7,114,72,72,121,106,104,96,108,No,94,06/11/2026,9 123,4 668,N
LF,Masataka Yoshida,Left,Right,79,64,130,92,124,94,80,108,95,130,1,1,1,3,1,1,1,3,1,-,-,-,8,8,5,2,47,60,70,56,51,36,25,48,No,94,03/19/2026,4 579,0,N
1B,Jose Abreu,Right,Right,106,86,127,93,78,84,75,110,69,83,1,1,1,5,1,1,1,5,1,-,-,-,34,24,40,62,7,6,10,58,40,72,14,55,No,93,03/13/2026,4 843,0,N
C,Johnny Bassler,Left,Right,58,54,1,140,171,137,110,32,152,233,1,1,1,5,1,1,1,5,1,109,106,117,8,7,7,7,1,1,4,125,36,27,28,56,No,93,08/04/2026,99 509,0,N
SP,Barney Brown,Left,Left,69,61,61,86,61,88,77,88,88,77,84,93,55,105,85,88,97,95,66,-,-,-,29,53,36,25,72,59,59,84,38,11,3,28,No,93,03/13/2026,5 045,4 001,N
SP,Hugh Daily,Right,Right,78,68,4,69,68,77,67,4,67,58,133,98,68,96,130,97,66,99,100,-,-,-,58,44,73,63,54,82,59,104,59,84,92,58,No,93,04/30/2026,5 090,0,N
2B,Bill Doran,Switch,Right,110,91,62,104,91,92,82,68,111,98,1,1,1,5,1,1,1,5,1,-,-,-,89,82,57,86,4,8,5,102,61,75,80,64,No,93,03/13/2026,4 292,0,N
2B,Johnny Evers,Left,Right,112,66,12,92,132,100,75,30,105,151,1,1,1,4,1,1,1,4,1,-,-,-,112,75,71,99,5,8,2,124,71,84,59,60,No,93,03/13/2026,5 717,0,N
SP,Cole Hamels,Left,Left,23,30,2,30,13,29,36,5,42,22,96,128,66,89,99,125,158,72,93,-,-,-,26,23,24,23,7,1,3,56,26,30,43,16,No,93,07/16/2026,10 759,8 250,N
C,Ron Hassey,Left,Right,90,84,65,83,124,93,82,75,97,135,1,1,1,5,1,1,1,5,1,53,72,56,3,10,5,6,1,10,10,56,14,11,12,26,No,93,03/13/2026,4 578,0,N
RP,John Hiller,Right,Left,1,4,1,3,2,1,3,1,3,1,140,86,122,141,129,60,100,92,74,-,-,-,29,20,24,23,2,8,2,57,5,6,4,6,No,93,08/06/2026,5 498,4 702,N
SP,Jimmy Key,Right,Left,17,37,6,35,11,17,37,6,35,11,85,144,88,62,83,133,82,100,87,-,-,-,35,32,32,30,1,1,7,77,16,6,5,28,No,93,03/13/2026,4 477,4 080,N
SP,Sandy Koufax,Right,Left,7,38,7,38,27,14,23,3,60,14,160,62,59,99,135,78,101,81,77,-,-,-,24,24,24,23,1,10,10,55,7,6,13,5,No,93,05/28/2026,5 059,0,N
SS,Barry Larkin,Right,Right,115,71,125,155,120,111,92,88,68,93,1,1,1,2,1,1,1,2,1,-,-,-,103,94,84,59,2,8,1,96,74,91,77,91,No,93,07/16/2026,9 325,9 000,N
2B,Davey Lopes,Right,Right,100,87,116,79,88,100,74,83,128,82,1,1,1,7,1,1,1,7,1,-,-,-,66,65,57,63,74,85,61,68,115,112,104,117,No,93,04/09/2026,4 434,0,N
1B,Willie McCovey,Left,Left,118,77,166,95,52,124,128,131,124,77,1,1,1,4,1,1,1,4,1,-,-,-,70,21,36,18,10,3,10,76,57,85,11,98,No,93,08/20/2026,13 535,0,N
LF,Lennie Pearson,Right,Right,91,105,134,88,102,88,100,121,85,96,1,1,22,1,1,1,22,1,1,1,1,1,59,65,56,55,64,59,59,76,89,106,92,83,No,93,04/16/2026,28 184,0,Y
2B,Dustin Pedroia,Right,Right,71,127,27,94,158,80,133,68,78,161,1,1,1,2,1,1,1,2,1,-,-,-,95,88,60,80,4,6,10,106,66,89,74,64,No,93,03/13/2026,5 814,0,N
SS,Jackie Robinson,Right,Right,99,110,97,80,91,95,94,94,89,89,1,1,21,3,1,1,17,3,1,1,1,1,106,64,99,106,7,3,11,103,102,84,79,108,No,93,04/15/2026,24 880,13 405,N
3B,Ron Santo,Right,Right,128,68,105,124,92,119,68,135,110,90,1,1,1,7,1,1,1,7,1,-,-,-,78,62,72,52,2,2,8,74,36,6,19,61,No,93,04/23/2026,16 828,0,Y
3B,Ron Santo,Right,Right,119,62,97,115,85,110,62,125,102,83,1,1,1,5,1,1,1,5,1,-,-,-,78,62,72,52,2,2,8,68,36,6,19,61,No,93,04/23/2026,5 093,0,N
CL,Kazuhiro Sasaki,Right,Right,1,3,1,3,1,1,3,1,3,1,103,119,111,75,79,120,137,94,17,-,-,-,27,20,23,23,9,2,10,55,5,6,4,6,No,93,04/09/2026,4 424,0,N
SS,Corey Seager,Left,Right,140,73,92,74,68,116,80,78,121,79,1,1,1,7,1,1,1,7,1,-,-,-,107,92,95,69,1,4,7,105,30,67,20,54,No,93,06/04/2026,6 764,4 001,N
RF,Chick Stahl,Left,Left,138,82,92,90,144,110,116,85,122,150,2,18,1,15,1,17,1,11,24,-,-,-,10,2,9,2,100,114,94,126,80,83,82,71,No,93,08/13/2026,10 263,7 555,N
LF,Kyle Stowers,Left,Left,113,74,33,86,85,140,87,147,114,69,1,1,1,7,1,1,1,7,1,-,-,-,4,9,8,3,64,120,101,94,51,76,25,40,No,93,07/08/2026,41 693,21 250,N
SP,Luis Tiant,Left,Left,1,1,1,62,35,1,1,1,63,38,111,90,103,97,95,87,85,85,71,1,1,1,29,32,28,25,45,56,56,70,16,6,4,28,No,93,03/13/2026,5 124,4 001,N
RF,Jo Adell,Right,Right,95,64,125,93,79,78,59,118,88,73,1,1,1,5,1,1,1,5,1,-,-,-,8,4,5,6,115,100,60,123,40,76,22,41,No,92,04/16/2026,11 388,7 222,N
1B,Felipe Alou,Right,Right,105,106,108,61,152,105,110,120,25,139,1,1,1,7,1,1,1,7,1,-,-,-,54,35,71,81,92,77,110,70,66,38,41,105,No,92,06/18/2026,4 965,0,N
RP,Pedro Borbon,Right,Left,2,3,1,3,1,2,3,1,3,1,156,91,95,148,54,90,88,122,16,-,-,-,35,20,26,23,1,4,5,65,9,6,3,14,No,92,03/13/2026,5 978,0,N
SS,Ray Chapman,Right,Right,94,92,18,122,81,97,99,60,87,95,1,1,1,1,1,1,1,1,1,-,-,-,102,67,77,99,5,3,5,93,91,106,102,95,No,92,03/13/2026,5 323,0,N
2B,Frank Grant,Right,Right,104,123,77,93,87,70,111,66,84,85,9,26,42,16,9,26,23,16,49,1,1,1,102,76,42,91,6,8,8,111,78,98,101,77,No,92,03/13/2026,4 549,0,N
SP,Bill Hallahan,Right,Left,37,67,37,64,5,22,64,24,65,11,116,59,153,100,118,54,74,110,72,-,-,-,27,13,21,24,2,4,4,47,19,9,7,29,No,92,03/13/2026,4 841,0,N
SP,Larry Jackson,Right,Right,17,28,2,34,16,10,43,5,35,24,79,132,64,170,95,141,42,153,92,-,-,-,24,27,25,24,5,5,1,59,18,6,3,32,No,92,08/20/2026,35 311,12 000,N
SP,Tommy John,Right,Left,21,32,3,45,20,16,39,7,32,17,93,138,82,164,62,128,90,170,90,-,-,-,25,30,26,25,1,9,5,63,7,6,5,9,No,92,08/24/2026,9 611,4 567,N
RF,Roy Johnson,Left,Right,68,89,87,86,83,86,87,84,90,100,1,1,1,7,1,1,2,7,1,-,-,-,5,2,2,10,74,44,101,92,62,68,71,59,No,92,03/13/2026,5 513,4 200,N
SP,Sam Jones,Right,Right,86,20,10,126,23,75,67,84,83,48,75,94,76,144,107,110,82,152,82,-,-,-,24,23,24,26,9,4,1,55,43,58,43,35,No,92,07/04/2026,8 423,4 667,N
SP,Ed Karger,Right,Left,12,30,34,15,13,11,36,53,30,23,82,122,85,104,82,115,87,94,94,-,-,-,28,22,28,33,7,3,3,60,56,67,65,47,No,92,05/21/2026,5 773,0,N
LF,Carlos Lee,Right,Right,120,55,101,87,155,103,113,116,102,138,1,1,1,4,1,1,1,4,1,-,-,-,7,7,9,6,44,90,52,55,57,110,59,68,No,92,07/30/2026,12 910,4 001,N
SP,Gary Peters,Left,Left,33,87,58,50,60,52,76,78,41,81,124,87,50,117,69,75,96,114,71,-,-,-,34,33,34,34,6,7,8,77,34,6,3,28,No,92,03/13/2026,4 791,4 025,N
2B,Bryce Rainer,Left,Right,114,127,95,145,59,142,149,98,163,78,69,79,85,71,68,82,84,72,65,1,1,1,92,64,113,71,55,51,81,96,56,72,43,66,No,92,08/15/2026,8 082,4 585,N
2B,Tubby Scales,Right,Right,112,106,79,90,97,89,117,76,87,93,12,32,42,20,12,32,28,18,24,1,1,1,91,71,50,93,75,62,62,102,59,71,65,61,No,92,03/13/2026,4 715,4 001,N
SP,Noah Schultz,Left,Left,12,5,10,12,28,15,5,10,12,28,116,75,98,135,108,75,76,118,56,1,1,1,47,49,42,54,27,23,23,95,17,5,25,21,No,92,04/17/2026,4 655,0,N
RF,Ken Singleton,Switch,Right,108,73,99,124,69,110,64,90,175,88,1,1,1,4,1,1,1,4,1,-,-,-,6,9,5,7,55,93,117,89,34,41,32,47,No,92,06/11/2026,7 819,0,N
C,Mickey Tettleton,Switch,Right,82,84,147,136,44,87,67,133,150,60,1,1,1,1,1,1,1,1,1,70,53,46,1,4,9,10,8,2,3,51,41,39,23,47,No,92,05/21/2026,4 357,0,N
CF,Andres Torres,Switch,Right,65,108,68,104,84,128,151,83,101,76,1,1,1,7,1,1,1,7,1,-,-,-,10,3,9,6,112,123,70,124,96,87,83,112,No,92,05/26/2026,5 041,0,N
CF,George Van Haltren,Left,Left,68,75,72,82,94,84,79,90,89,107,46,62,1,49,42,60,1,45,25,-,-,-,10,4,8,3,64,44,71,46,83,93,89,82,No,92,03/13/2026,4 589,0,N
RP,Hoyt Wilhelm,Right,Right,1,54,7,32,18,1,34,15,52,14,74,45,134,79,121,133,135,86,53,-,-,-,29,49,34,23,6,6,7,82,16,6,5,28,No,92,03/13/2026,10 724,8 698,N
3B,Eddie Yost,Right,Right,100,41,92,288,102,97,55,100,273,100,1,1,1,4,1,1,1,4,1,-,-,-,62,89,76,57,7,4,2,76,46,75,23,50,No,92,08/20/2026,28 498,22 000,N
SP,Barry Zito,Left,Left,3,6,1,3,3,3,6,1,7,3,81,90,148,129,76,84,157,133,92,-,-,-,35,30,29,23,8,4,5,76,5,6,3,5,No,92,07/15/2026,84 717,30 000,N
CF,Cool Papa Bell,Switch,Left,94,65,88,91,98,86,64,86,82,95,23,32,34,27,23,32,30,28,95,1,1,1,53,22,47,20,86,85,70,83,95,97,89,88,No,91,03/13/2026,4 720,0,N
C,Carlton Fisk,Right,Right,104,91,85,68,131,109,98,98,80,68,1,1,1,5,1,1,1,5,1,72,66,71,3,10,1,7,2,7,10,68,19,28,21,15,No,91,03/13/2026,4 497,0,N
RP,Hal Haid,Right,Right,2,3,1,4,1,2,3,1,4,1,49,66,88,142,99,112,101,105,24,-,-,-,23,20,22,23,8,1,4,50,10,6,5,15,No,91,03/13/2026,4 320,0,N
SP,Dan Haren,Right,Right,47,75,16,37,32,31,110,31,37,30,108,88,162,72,100,118,86,77,73,-,-,-,30,45,33,23,10,6,3,80,8,6,4,28,No,91,03/13/2026,4 419,0,N
CF,Wade Johnston,Left,Left,75,94,98,80,68,82,86,104,87,77,24,36,32,31,24,36,39,31,68,1,1,1,29,21,22,19,75,62,68,64,71,72,64,61,No,91,03/13/2026,4 723,4 001,N
C,Jason Kendall,Right,Right,114,118,81,89,114,105,69,60,77,125,1,1,1,1,1,1,1,1,1,72,70,55,3,5,8,10,9,5,1,64,71,99,74,69,No,91,04/09/2026,5 516,0,N
2B,Jeff Kent,Right,Right,101,119,46,114,88,92,120,82,70,94,1,1,1,1,1,1,1,1,1,-,-,-,73,76,57,87,7,3,1,86,55,47,44,60,No,91,03/13/2026,4 179,0,N
3B,Royce Lewis,Right,Right,148,71,85,77,80,115,79,118,69,74,1,1,1,3,1,1,1,3,1,-,-,-,78,89,61,84,1,5,8,78,81,86,64,76,No,91,03/13/2026,7 089,0,N
C,Ernie Lombardi,Right,Right,80,48,114,60,111,92,82,91,41,126,1,1,1,3,1,1,1,3,1,58,54,61,3,9,6,5,5,6,9,52,17,11,12,19,No,91,03/13/2026,5 040,4 500,N
SP,Jack Lynch,Right,Right,6,52,4,60,107,6,51,4,58,102,84,133,87,87,81,138,82,86,97,-,-,-,27,20,21,16,5,7,1,52,89,90,100,62,No,91,03/13/2026,4 838,0,N
SP,Howie Pollet,Left,Left,14,34,4,41,13,28,31,4,50,26,107,99,44,108,86,103,94,103,97,-,-,-,32,24,29,33,2,3,6,67,5,6,5,5,No,91,03/13/2026,4 736,0,N
CL,Huston Street,Right,Right,1,3,1,3,1,1,3,1,3,1,121,94,84,76,137,107,101,80,18,-,-,-,35,20,26,23,9,4,9,65,5,6,5,5,No,91,03/13/2026,5 277,0,N
3B,Ezra Sutton,Right,Right,136,94,42,82,129,130,84,33,68,124,1,1,1,2,1,1,1,2,1,-,-,-,87,107,116,61,9,10,10,119,68,78,72,88,No,91,03/13/2026,5 084,0,N
RF,Jimmy Wynn,Right,Right,89,75,95,166,89,65,109,100,122,81,1,1,1,1,1,1,1,1,1,-,-,-,4,1,1,2,54,76,60,57,59,76,65,77,No,91,03/13/2026,5 016,0,N
C,Tom Young,Left,Right,81,104,77,83,93,104,117,104,84,96,8,19,21,12,8,19,43,17,50,67,67,71,25,21,22,19,45,56,56,67,67,89,64,61,No,91,03/13/2026,4 408,0,N
LF,Michael Brantley,Left,Left,72,75,70,87,153,81,77,86,77,150,1,1,1,1,1,1,1,1,1,-,-,-,5,9,2,4,46,110,88,69,46,92,60,48,No,90,03/13/2026,5 554,0,N
SP,Tommy Bridges,Right,Right,24,41,4,41,9,28,33,4,41,17,129,86,78,37,127,76,86,118,79,-,-,-,25,29,25,22,3,8,5,61,16,6,5,26,No,90,03/13/2026,5 664,0,N
SS,Donie Bush,Switch,Right,94,80,1,148,109,86,59,1,144,82,1,1,1,1,1,1,1,1,1,-,-,-,114,89,94,86,4,6,6,112,103,107,97,99,No,90,03/13/2026,4 102,0,N
SP,Tom Candiotti,Right,Right,1,34,1,16,49,1,52,1,31,71,77,55,91,123,88,98,96,104,84,-,-,-,35,41,34,26,4,9,10,82,16,6,5,28,No,90,03/13/2026,4 530,0,N
1B,George Carr,Switch,Right,82,108,94,80,93,80,104,91,77,89,1,1,18,5,1,1,18,5,1,68,55,61,79,67,65,69,81,62,62,78,75,78,87,68,No,90,03/13/2026,4 533,0,N
C,Mitch Garver,Right,Right,57,69,128,121,82,109,66,120,77,58,1,1,1,2,1,1,4,2,1,45,54,41,37,33,34,33,2,7,1,37,10,6,5,32,No,90,03/13/2026,4 320,0,N
1B,Mike Hargrove,Left,Left,93,45,45,132,138,90,47,48,151,150,1,1,1,3,1,1,1,3,1,-,-,-,47,39,43,59,58,48,52,68,33,67,12,35,No,90,03/13/2026,5 392,4 001,N
1B,Ryan Howard,Left,Left,134,58,142,89,36,120,67,163,170,54,1,1,1,7,1,1,1,7,1,-,-,-,29,18,22,18,2,9,1,47,8,6,5,8,No,90,07/16/2026,11 336,8 000,N
2B,Edouard Julien,Left,Right,68,81,69,123,67,111,98,108,144,80,1,1,1,3,1,1,3,3,1,-,-,-,49,70,36,60,10,9,3,53,52,101,61,61,No,90,03/19/2026,4 445,0,N
SP,Al Leiter,Left,Left,9,29,3,17,9,18,14,3,32,9,100,88,115,144,120,40,162,118,86,-,-,-,26,26,26,27,6,9,5,60,10,6,3,15,No,90,06/18/2026,6 521,4 500,N
2B,Mark Loretta,Right,Right,130,67,66,122,188,125,120,66,69,169,1,1,1,3,1,1,1,3,1,-,-,-,79,98,56,115,5,1,8,109,36,46,33,45,No,90,07/08/2026,73 397,20 000,N
LF,Matty McIntyre,Left,Left,110,75,37,106,93,96,88,60,96,98,1,1,1,4,1,1,1,4,1,-,-,-,3,6,5,4,102,103,70,123,71,79,79,64,No,90,03/13/2026,4 688,0,N
LF,Minnie Minoso,Right,Right,113,118,25,126,81,95,109,73,118,122,1,1,1,1,1,1,1,1,1,-,-,-,69,64,71,64,79,73,60,91,67,71,70,109,No,90,04/23/2026,5 079,0,N
1B,Boog Powell,Left,Right,51,24,130,134,48,89,68,134,100,84,1,1,1,7,1,1,1,7,1,-,-,-,31,49,34,21,2,1,1,70,14,44,20,18,No,90,05/14/2026,5 093,0,N
RF,George Selkirk,Left,Right,70,66,98,151,75,72,90,98,119,81,1,1,1,5,1,1,1,5,1,-,-,-,9,9,9,10,64,78,59,67,64,66,59,60,No,90,03/13/2026,4 196,0,N
